"행정구역별(1)",행정구역별(2),2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11
"행정구역별(1)",행정구역별(2),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡)
"전국",소계,66292,108336,81859,135008,84459,139096
"서울특별시",소계,1298,516,1444,565,1357,303
"서울특별시",종로구,81,5,69,15,77,5
"서울특별시",중구,67,7,81,14,173,6
"서울특별시",용산구,92,14,69,3,57,3
"서울특별시",성동구,18,0,12,1,24,1
"서울특별시",광진구,10,2,20,2,15,1
"서울특별시",동대문구,88,6,34,4,21,4
"서울특별시",중랑구,32,23,22,1,14,8
"서울특별시",성북구,97,8,90,8,65,4
"서울특별시",강북구,14,4,34,6,16,3
"서울특별시",도봉구,37,17,39,37,53,23
"서울특별시",노원구,49,67,65,92,42,18
"서울특별시",은평구,45,13,88,9,76,8
"서울특별시",서대문구,108,5,179,7,113,6
"서울특별시",마포구,46,6,55,4,61,3
"서울특별시",양천구,19,1,31,3,48,3
"서울특별시",강서구,25,15,60,32,33,13
"서울특별시",구로구,51,9,61,8,76,19
"서울특별시",금천구,11,7,15,2,10,27
"서울특별시",영등포구,66,7,49,2,57,5
"서울특별시",동작구,69,5,124,7,65,4
"서울특별시",관악구,43,19,42,3,53,5
"서울특별시",서초구,47,208,55,23,61,84
"서울특별시",강남구,67,6,50,8,51,10
"서울특별시",송파구,33,3,31,3,34,12
"서울특별시",강동구,83,59,69,271,62,28
"부산광역시",소계,1089,1106,1098,592,1631,682
"부산광역시",중구,4,0,7,1,6,0
"부산광역시",서구,28,2,41,5,47,8
"부산광역시",동구,21,1,31,1,50,1
"부산광역시",영도구,24,245,49,10,23,13
"부산광역시",부산진구,118,28,127,46,171,30
"부산광역시",동래구,39,32,76,43,135,21
"부산광역시",남구,269,39,147,16,182,27
"부산광역시",북구,21,32,18,5,17,2
"부산광역시",해운대구,29,7,33,5,74,27
"부산광역시",사하구,43,5,46,14,98,69
"부산광역시",금정구,30,13,35,15,170,15
"부산광역시",강서구,164,155,166,132,201,266
"부산광역시",연제구,27,4,89,23,77,13
"부산광역시",수영구,18,1,27,2,46,20
"부산광역시",사상구,22,28,29,4,45,5
"부산광역시",기장군,232,514,177,272,289,165
"대구광역시",소계,951,883,981,770,1126,1247
"대구광역시",중구,49,3,68,4,76,4
"대구광역시",동구,169,117,217,384,250,466
"대구광역시",서구,29,2,46,8,70,14
"대구광역시",남구,89,5,45,5,104,7
"대구광역시",북구,220,486,129,76,166,45
"대구광역시",수성구,90,27,163,43,169,31
"대구광역시",달서구,92,13,66,6,64,52
"대구광역시",달성군,213,231,247,245,227,629
"인천광역시",소계,1643,1958,2167,1758,2048,2160
"인천광역시",중구,121,59,206,114,218,215
"인천광역시",동구,6,0,29,4,13,3
"인천광역시",남구,0,0,0,0,0,0
"인천광역시",미추홀구,92,8,269,8,52,8
"인천광역시",연수구,99,77,58,18,200,283
"인천광역시",남동구,53,31,54,47,34,17
"인천광역시",부평구,86,16,105,31,87,23
"인천광역시",계양구,97,115,200,154,194,131
"인천광역시",서구,176,180,194,162,232,421
"인천광역시",강화군,779,1214,827,852,786,764
"인천광역시",옹진군,134,259,225,368,232,297
"광주광역시",소계,781,894,780,549,938,570
"광주광역시",동구,48,64,77,14,114,31
"광주광역시",서구,77,36,86,51,127,92
"광주광역시",남구,98,57,80,117,90,66
"광주광역시",북구,128,96,163,103,170,65
"광주광역시",광산구,430,641,374,263,437,315
"대전광역시",소계,577,571,695,417,874,437
"대전광역시",동구,143,65,143,62,250,63
"대전광역시",중구,63,15,83,21,77,31
"대전광역시",서구,77,44,181,126,118,75
"대전광역시",유성구,266,421,265,196,339,225
"대전광역시",대덕구,28,26,23,13,90,44
"울산광역시",소계,786,828,970,2320,986,822
"울산광역시",중구,50,22,58,24,57,103
"울산광역시",남구,72,16,54,27,48,10
"울산광역시",동구,13,6,14,5,11,4
"울산광역시",북구,138,106,94,246,221,205
"울산광역시",울주군,513,677,750,2018,649,499
"세종특별자치시",소계,688,735,727,671,1064,1888
"세종특별자치시",세종특별자치시,688,735,727,671,1064,1888
"경기도",소계,15946,16840,20215,22316,20643,24511
"경기도",수원시,210,109,352,169,412,346
"경기도",수원시 장안구,102,59,153,60,161,178
"경기도",수원시 권선구,56,44,58,43,81,49
"경기도",수원시 팔달구,46,5,74,10,127,6
"경기도",수원시 영통구,6,1,67,55,43,113
"경기도",성남시,303,1223,369,234,401,1532
"경기도",성남시 수정구,75,1109,138,76,200,1456
"경기도",성남시 중원구,43,31,100,120,70,26
"경기도",성남시 분당구,185,83,131,37,131,50
"경기도",의정부시,120,53,343,288,154,83
"경기도",안양시,101,80,157,16,130,48
"경기도",안양시 만안구,59,34,126,14,73,10
"경기도",안양시 동안구,42,46,31,2,57,38
"경기도",부천시,54,14,127,21,100,40
"경기도",광명시,122,30,127,38,103,60
"경기도",평택시,1917,884,1449,736,1410,1079
"경기도",동두천시,98,83,108,103,130,207
"경기도",안산시,417,266,482,264,526,302
"경기도",안산시 상록구,128,75,154,80,213,156
"경기도",안산시 단원구,289,191,328,183,313,145
"경기도",고양시,378,303,559,1208,454,430
"경기도",고양시 덕양구,239,207,304,1008,253,290
"경기도",고양시 일산동구,90,86,147,137,129,108
"경기도",고양시 일산서구,49,10,108,63,72,32
"경기도",과천시,32,14,32,4,96,52
"경기도",구리시,26,7,29,33,33,57
"경기도",남양주시,866,732,992,1423,885,1165
"경기도",오산시,98,30,273,708,595,470
"경기도",시흥시,410,300,779,430,502,398
"경기도",군포시,8,4,25,55,17,84
"경기도",의왕시,72,28,249,153,187,64
"경기도",하남시,116,51,155,81,404,101
"경기도",용인시,1174,969,1757,1889,2285,2255
"경기도",용인시 처인구,902,827,1317,1594,1128,1389
"경기도",용인시 기흥구,132,98,275,247,651,719
"경기도",용인시 수지구,140,44,165,48,506,147
"경기도",파주시,879,822,1050,886,968,898
"경기도",이천시,702,673,1062,1157,1071,954
"경기도",안성시,646,963,954,1722,850,2051
"경기도",김포시,872,865,997,965,970,718
"경기도",화성시,1938,1513,2109,2218,2502,2006
