한글	영어		철자수
=======================
하마	hippopotamus	-
독수리	falcon		-
고양이	cat		-
강아지	puppy		-
토끼	rabit		-
곰	bear		-
원숭이	monkey		-
기린	giraffe		-
말	horse		-
매미	cicada		-
모기	mosquito 	-
아르마딜로 armadillo 	-
나비	butterfly		-
달팽이	escargot		-
캥거루	kangaroo		-
박쥐	bat		-
오징어	squid		-
딱다구리	woodpecker	-
너구리	racoon		-
사자	lion		-
아나콘다	anaconda		-
사슴	deer		-
벌	bee		-
개구리	frog		-
펭귄	penguin		-
표범	leopard		-
호랑이	tiger		-
거북이	turtle		-
돼지	pig		-
닭	cock		-
쥐	mouse		-
낙타	camel		-
고래	whale		-
거미	spider		-
백조	swan		-
문어	octopus		-
