한글		영어		철자수
=======================
딱다구리		woodpecker	10
고래		whale		5
거북이		turtle		6
호랑이		tiger		5
백조		swan		4
오징어		squid		5
거미		spider		6
너구리		racoon		6
토끼		rabit		5
강아지		puppy		5
돼지		pig		3
펭귄		penguin		7
문어		octopus		7
쥐		mouse		5
모기		mosquito		8
원숭이		monkey		6
사자		lion		4
표범		leopard		7
캥거루		kangaroo		8
말		horse		5
하마		hippopotamus	12
기린		giraffe		7
개구리		frog		4
독수리		falcon		6
달팽이		escargot		8
사슴		deer		4
닭		cock		4
매미		cicada		6
고양이		cat		3
낙타		camel		5
나비		butterfly		9
벌		bee		3
곰		bear		4
박쥐		bat		3
아르마딜로	armadillo		9
아나콘다		anaconda		8
